,PC1,PC2
0,30.9652424914544,-80.76842321709066
1,29.523559227083485,-69.84938492212954
2,17.41564134067166,-65.71212293026022
3,-120.95559292010742,-4.43864305955263
4,-29.36698678156097,-31.97017333538461
5,183.5498780497797,-69.71864826188956
6,233.69745206847674,-88.81216790855817
7,133.55454905980818,-13.56912205314997
8,-12.147104280083008,-47.28686713179377
9,-46.77208339991732,-93.84347965233978
10,-118.97068505524786,-51.41425192438655
11,37.852559874229364,-111.03520517344106
12,-11.841151857473028,-49.91798641302823
13,-7.225671766370018,-132.12984401045117
14,26.064909986327898,-63.50528306996869
15,-9.4854675076677,-48.00507341854301
16,-53.054217999796116,-31.190357509542785
17,-83.16151684267257,-101.0690097851976
18,118.37816407722175,-61.09269760139601
19,-70.12896360893218,-45.58391578781949
20,-129.2157235605607,34.80789616170531
21,-15.288672002012383,20.137266885159097
22,-75.15127045607322,24.48531247589642
23,-168.08436222211031,31.036706264206067
24,-61.91628196934247,-14.310160367788576
25,-159.4168153217192,67.31005251138387
26,-167.19701547818636,21.90721920851564
27,-139.50205508647284,1.1018437446781204
28,-93.47734775996148,30.26774795849586
29,-108.14698038861103,26.415212898479492
30,147.39165537035592,206.95722088855456
31,197.99389033372597,109.88731359786662
32,339.04695637668027,211.06456680923097
33,41.79312318536071,57.54172661973402
34,37.50100729097966,239.73258505363415
35,59.087695920384725,141.72744798015964
36,278.2469281644452,230.37118526647083
37,235.98288239976057,242.52640922857876
38,132.97049980800352,181.89968695611947
39,145.43234626856466,201.39303246472176
40,-84.76513933753043,-0.8337775273669835
41,-118.19253581188819,-11.58864584307532
42,-20.694544271885473,-29.203941609707176
43,22.392597872585657,-41.02262465843019
44,321.36097937622213,164.1160820388328
45,-113.46765220439471,-26.7339550023011
46,-194.80011736228386,13.404166078072166
47,-136.7437437027807,52.295973671562194
48,-78.58126963903028,0.16620826625918655
49,-123.56211419174042,31.010510819469566
50,4.798635970955594,52.587676771382746
51,-87.48159402881733,69.70130800145525
52,-161.1043194307994,32.603129044354134
53,79.48837624444035,131.18623575298886
54,-8.109567604216098,44.82638518388121
55,-56.227708289055386,59.15007630434808
56,-15.1476246603592,79.16280524979945
57,-20.308374406797164,45.15655117287579
58,9.95088708548664,72.59192748911302
59,-75.7469439854353,33.62338346483398
60,-31.700678648474693,201.09130881601592
61,505.1423376790179,-65.92156154302337
62,-40.49639096398793,153.7803413905101
63,144.1955171535292,178.83546919083756
64,-118.73819739717575,151.67751427662367
65,-63.1369100583928,154.96600067943695
66,196.5295529797094,132.9172209911158
67,14.932484017761254,154.24401921042545
68,8.202060319104751,204.3375322716982
69,-24.93731197788449,102.8084668111675
70,-80.23028290943627,68.49191804946692
71,28.294757918739,-184.6341238161403
72,-142.82789482559485,-5.334236565582888
73,83.31469213630218,-109.39806658455832
74,-8.130885511000333,-27.496043390936283
75,35.1270440523261,-138.76299462029476
76,-64.69113616869629,-42.4235688358684
77,-188.22170162251064,5.774210948142608
78,-31.523531788766352,-52.04378844587139
79,-128.92678903051328,-30.082198913163083
80,-18.593097822083106,-60.26964810787129
81,-150.97162995007858,-36.13112474497098
82,-227.62750149876496,55.08572874951772
83,-86.28699550225282,-34.92024860241786
84,154.59012842198985,-52.01775115290803
85,-124.79757726151608,-15.033643758371193
86,-67.63476645506142,-69.79526751668377
87,-166.99146446011778,13.672765217270218
88,-26.182721764474827,-44.9683203599696
89,-175.70105279962914,13.03199287041506
90,-115.47256979702446,-85.2289926688064
91,112.75378206535032,-72.53284058484313
92,-33.271946044144244,-82.91167631654824
93,-99.28486486665838,13.619854162932723
94,-20.01581213476682,-102.29515789593596
95,-114.08565270042097,-35.98803102640704
96,59.48597535349627,-94.57454855465316
97,-113.7727488558407,-58.54258644884566
98,-68.98509909436572,-48.59173798269
99,14.331047975309172,-83.28635349821482
100,240.91272739969486,-128.22731701166666
101,92.46244858420013,-18.605139607847526
102,40.32589125492606,33.88072007267041
103,45.973371157751906,78.77033036754078
104,98.60906565464202,39.60403692152607
105,-33.299115755319036,-1.6559023588907555
106,243.25576128978335,47.68501599865291
107,-89.2816565328114,69.2447805651119
108,221.21491431340172,-10.460000812705449
109,-18.743833121411054,67.1665041667444
110,-78.55118967989745,-89.11994313276003
111,50.14221528691717,-150.8360985133799
112,-174.61879654307032,-67.39014874854564
113,-114.78385282727432,-60.09914060269746
114,-76.94213727593558,-66.62681846656622
115,-145.11753844229366,-68.61480142064839
116,-52.62574833799951,-90.09993293546304
117,15.260231900538477,-94.46432886501968
118,23.186359091117183,-135.29899876456497
119,-52.12324337801516,-105.42178393806431
120,-40.15250975405278,-50.85587784275651
121,-61.252124977695765,-36.32226112181505
122,76.16408079279367,-131.34383360348667
123,-10.92927696833617,-84.07000508177508
124,-51.36946754845908,-46.644409915531575
125,6.270380387685631,-102.6246969244058
126,21.047030512933677,-125.71946397310546
127,23.151518631833333,-33.41323348989997
128,-41.53370237479577,-47.216884698395184
129,33.11457032176152,-129.1770562048742
130,262.56359862288093,-10.80266824129221
131,76.22546427002682,-12.648319716078639
132,-45.63866391456193,-50.210713222282834
133,-99.41180290169216,-6.472150964470377
134,133.06853521607178,1.0738103240575958
135,203.15148816321593,-115.96378169891364
136,-89.23887272549507,-42.24836964809218
137,-8.604947871344331,-65.2456074915978
138,-122.70961962380353,-27.755788364075265
139,-115.09805519673333,-13.286783554209356
140,-56.23716463775424,113.5195582706054
141,-44.8690971532724,109.72399545455512
142,-82.39281028943844,127.90908254661248
143,-65.68013829946247,118.0003454985904
144,46.192052409034176,161.1510420376583
